1;1;;35,77
1;10;;40,34
1;20;;44,25
1;30;;47,5
1;40;;51,41
1;50;;54,67
1;60;;59,01
1;70;;64,25
1;80;;69,47
1;90;;76,83
1;100;;79,06
1;200;;158,12
1;300;;237,18
1;400;;316,24
1;1000;;0,79
1;1500;;0,79
1;9999;;0,79
2;1;;58,12
2;10;;65,52
2;20;;72,9
2;30;;79,43
2;40;;84,83
2;50;;89,43
2;60;;94,07
2;70;;97,08
2;80;;110,95
2;90;;111,69
2;100;;105,66
2;200;;211,32
2;300;;316,98
2;400;;422,64
2;1000;;1,06
2;9999;;1,06
3;1;;42,76
3;10;;48,23
3;20;;52,88
3;30;;56,76
3;40;;61,43
3;50;;65,32
3;60;;69,22
3;70;;71,18
3;80;;81,64
3;90;;82,03
3;100;;79,06
3;200;;158,12
3;300;;237,18
3;400;;316,24
3;1000;;0,79
3;9999;;0,79
4;1;;38,6
4;10;;43,5
4;20;;47,72
4;30;;51,56
4;40;;55,73
4;50;;64,01
4;60;;75,59
4;70;;82,25
4;80;;91,45
4;90;;96,03
4;100;;91,45
4;200;;182,88
4;300;;274,33
4;400;;365,78
4;1000;;0,91
4;9999;;0,91
5;1;;32,11
5;10;;36,04
5;20;;40,92
5;30;;51,04
5;40;;55,73
5;50;;64,01
5;60;;75,59
5;70;;82,25
5;80;;91,45
5;90;;96,03
5;100;;91,45
5;200;;182,88
5;300;;274,33
5;400;;365,78
5;1000;;0,91
5;9999;;0,91
6;1;;46,96
6;10;;52,94
6;20;;58,05
6;30;;62,31
6;40;;67,45
6;50;;71,72
6;60;;75,98
6;70;;78,34
6;80;;89,66
6;90;;90,2
6;100;;81,42
6;200;;162,84
6;300;;244,26
6;400;;325,67
6;1000;;0,81
6;9999;;0,81
7;1;;24,64
7;10;;27,75
7;20;;30,44
7;30;;32,69
7;40;;35,38
7;50;;37,61
7;60;;39,86
7;70;;37,63
7;80;;47,02
7;90;;44,78
7;100;;43,27
7;200;;86,53
7;300;;129,8
7;400;;173,06
7;1000;;0,43
7;9999;;0,43
8;1;;59,52
8;10;;67,09
8;20;;73,58
8;30;;79,43
8;40;;85,48
8;50;;90,9
8;60;;96,32
8;70;;105,66
8;80;;117,06
8;90;;122,9
8;100;;117,06
8;200;;234,12
8;300;;351,19
8;400;;468,25
8;1000;;1,17
8;9999;;1,17
9;1;;58,12
9;10;;65,52
9;20;;71,86
9;30;;77,13
9;40;;83,5
9;50;;88,78
9;60;;100,7
9;70;;110,47
9;80;;122,21
9;90;;128,81
9;100;;122,21
9;200;;244,43
9;300;;366,65
9;400;;488,87
9;1000;;1,22
9;9999;;1,22
10;1;;51,15
10;10;;57,64
10;20;;63,22
10;30;;67,88
10;40;;73,45
10;50;;78,12
10;60;;86,95
10;70;;95,57
10;80;;105,66
10;90;;111,69
10;100;;105,66
10;200;;211,32
10;300;;316,98
10;400;;422,64
10;1000;;1,06
10;9999;;1,06
11;1;;46,96
11;10;;52,94
11;20;;58,05
11;30;;62,31
11;40;;67,45
11;50;;71,72
11;60;;78,05
11;70;;87,71
11;80;;94,46
11;90;;99,57
11;100;;102,45
11;200;;204,9
11;300;;307,35
11;400;;409,81
11;1000;;1,02
11;9999;;1,02
12;1;;46,96
12;10;;52,94
12;20;;58,05
12;30;;64,01
12;40;;70,5
12;50;;81,7
12;60;;95,66
12;70;;105,2
12;80;;116,17
12;90;;122,79
12;100;;116,17
12;200;;232,33
12;300;;348,5
12;400;;464,67
12;1000;;1,16
12;9999;;1,16
13;1;;41,36
13;10;;46,65
13;20;;51,15
13;30;;54,92
13;40;;59,43
13;50;;63,18
13;60;;66,96
13;70;;66,18
13;80;;78,97
13;90;;79,13
13;100;;81,42
13;200;;162,84
13;300;;244,26
13;400;;325,67
13;1000;;0,81
13;9999;;0,81
14;1;;62,28
14;10;;70,85
14;20;;80,3
14;30;;87,54
14;40;;93,48
14;50;;98,54
14;60;;102,95
14;70;;106,99
14;80;;118,97
